delivery_id,order_id,ship_date,delivery_date,delivery_status
1,1,2023-11-17,2023-04-26,Delivered
2,2,2023-01-10,2023-11-23,Lost
3,3,2023-08-14,2023-01-15,Delivered
4,4,2023-11-10,2023-08-18,Delivered
5,5,2023-04-18,2023-01-11,Delivered
6,6,2023-07-07,2023-05-28,Delivered
7,7,2023-08-10,2023-06-14,Delivered
8,8,2023-04-06,2023-08-13,Delivered
9,9,2023-07-15,2023-08-06,Delivered
10,10,2023-08-31,2023-06-20,Delivered
11,11,2023-08-19,2023-01-28,Delivered
12,12,2023-11-28,2023-05-07,Delivered
13,13,2023-01-06,2023-10-29,Delivered
14,14,2023-12-18,2023-09-09,Delivered
15,15,2023-01-05,2023-01-12,Delivered
16,16,2023-09-22,2023-04-17,Delivered
17,17,2023-09-11,2023-04-18,Delivered
18,18,2023-06-13,2023-01-03,Delivered
19,19,2023-05-22,2023-07-03,Delivered
20,20,2023-10-24,2023-10-31,Delivered
21,21,2023-01-20,2023-05-23,Delayed
22,22,2023-03-24,2023-08-20,Delivered
23,23,2023-01-05,2023-03-07,Delivered
24,24,2023-05-09,2023-03-21,Delivered
25,25,2023-07-07,2023-08-22,Delivered
26,26,2023-05-27,2023-03-30,Delivered
27,27,2023-06-02,2023-07-04,Delivered
28,28,2023-12-30,2023-11-17,Delivered
29,29,2023-04-04,2023-05-28,Delivered
30,30,2023-02-01,2023-11-15,Delivered
31,31,2023-11-11,2023-04-04,Delivered
32,32,2023-01-29,2023-05-05,Delivered
33,33,2023-05-18,2023-10-05,Delivered
34,34,2023-04-01,2023-03-07,Delivered
35,35,2023-02-19,2023-11-30,Delivered
36,36,2023-09-16,2023-08-09,Delivered
37,37,2023-01-07,2023-07-13,Delivered
38,38,2023-01-30,2023-04-19,Delivered
39,39,2023-06-06,2023-09-06,Delivered
40,40,2023-09-21,2023-02-28,Delivered
41,41,2023-02-04,2023-02-16,Delivered
42,42,2023-08-26,2023-03-29,Delivered
43,43,2023-05-19,2023-02-09,Delivered
44,44,2023-02-27,2023-07-03,Delivered
45,45,2023-06-25,2023-06-15,Delivered
46,46,2023-08-03,2023-09-04,Delivered
47,47,2023-01-28,2023-11-21,Delivered
48,48,2023-10-23,2023-05-08,Delivered
49,49,2023-04-30,2023-07-28,Delivered
50,50,2023-05-28,2023-09-26,Delivered
51,51,2023-12-23,2023-12-22,Delivered
52,52,2023-09-23,2023-03-30,Delivered
53,53,2023-09-16,2023-05-27,Delivered
54,54,2023-12-15,2023-05-04,Delivered
55,55,2023-07-09,2023-04-10,Delivered
56,56,2023-11-12,2023-10-18,Delivered
57,57,2023-08-20,2023-05-15,Delivered
58,58,2023-07-18,2023-12-05,Delivered
59,59,2023-08-28,2023-11-16,Delivered
60,60,2023-11-24,2023-03-08,Delivered
61,61,2023-03-12,2023-07-20,Delivered
62,62,2023-09-10,2023-05-07,Delivered
63,63,2023-07-13,2023-12-14,Delivered
64,64,2023-01-26,2023-07-29,Delivered
65,65,2023-03-12,2023-07-29,Delivered
66,66,2023-06-06,2023-10-29,Delayed
67,67,2023-05-27,2023-05-03,Delivered
68,68,2023-11-16,2023-05-24,Delivered
69,69,2023-08-08,2023-12-15,Delivered
70,70,2023-02-19,2023-02-28,Delivered
71,71,2023-07-14,2023-11-02,Delivered
72,72,2023-02-10,2023-05-27,Delivered
73,73,2023-03-27,2023-02-15,Delivered
74,74,2023-12-10,2023-05-14,Delivered
75,75,2023-12-03,2023-03-24,Delivered
76,76,2023-01-05,2023-12-21,Delivered
77,77,2023-10-18,2023-02-01,Delivered
78,78,2023-09-05,2023-12-09,Delivered
79,79,2023-01-06,2023-07-30,Delayed
80,80,2023-08-15,2023-09-02,Delivered
81,81,2023-05-31,2023-07-04,Delivered
82,82,2023-08-27,2023-06-09,Delivered
83,83,2023-05-29,2023-05-28,Delivered
84,84,2023-04-14,2023-12-08,Delivered
85,85,2023-06-25,2023-12-22,Delivered
86,86,2023-08-25,2023-08-23,Delivered
87,87,2023-02-04,2023-04-04,Delayed
88,88,2023-06-22,2023-11-27,Delivered
89,89,2023-01-07,2023-06-23,Delayed
90,90,2023-10-13,2023-07-11,Delivered
91,91,2023-08-14,2023-02-02,Delayed
92,92,2023-02-23,2023-04-21,Delivered
93,93,2023-09-15,2023-10-01,Delayed
94,94,2023-03-01,2023-04-07,Delivered
95,95,2023-09-04,2023-03-20,Delivered
96,96,2023-01-08,2023-06-02,Delivered
97,97,2023-08-03,2023-05-24,Delivered
98,98,2023-03-20,2023-08-21,Delivered
