event_id,order_id,event_time,ingestion_time,event_type
1,1221,2023-12-06 04:00:00,2023-12-06 04:00:00,VIEW
2,6353,2023-01-06 20:00:00,2023-01-06 20:00:00,PURCHASE
3,249,2023-12-20 16:00:00,2023-12-20 18:00:00,ADD_TO_CART
4,4702,2023-03-24 21:00:00,2023-03-24 22:00:00,PURCHASE
5,3919,2023-10-08 01:00:00,2023-10-08 03:00:00,PURCHASE
6,2142,2023-03-30 10:00:00,2023-03-30 10:00:00,ADD_TO_CART
7,4806,2023-09-11 21:00:00,2023-09-11 21:00:00,PURCHASE
8,6133,2023-08-16 21:00:00,2023-08-16 23:00:00,ADD_TO_CART
9,580,2023-11-29 01:00:00,2023-11-29 02:00:00,ADD_TO_CART
10,5330,2023-02-04 07:00:00,2023-02-04 07:00:00,VIEW
11,4374,2023-03-04 14:00:00,2023-03-04 16:00:00,PURCHASE
12,5517,2023-10-01 22:00:00,2023-10-02 00:00:00,PURCHASE
13,5289,2023-11-17 02:00:00,2023-11-17 03:00:00,VIEW
14,5009,2023-07-20 13:00:00,2023-07-20 14:00:00,PURCHASE
15,1313,2023-09-01 08:00:00,2023-09-01 08:00:00,VIEW
16,2495,2023-04-27 16:00:00,2023-04-27 16:00:00,ADD_TO_CART
17,3773,2023-07-24 02:00:00,2023-07-24 02:00:00,PURCHASE
18,5956,2023-06-12 09:00:00,2023-06-12 11:00:00,ADD_TO_CART
19,7877,2023-08-23 02:00:00,2023-08-23 07:00:00,VIEW
20,5048,2023-08-14 00:00:00,2023-08-14 00:00:00,ADD_TO_CART
21,5326,2023-11-26 22:00:00,2023-11-26 22:00:00,PURCHASE
22,3164,2023-02-06 11:00:00,2023-02-06 11:00:00,VIEW
23,5632,2023-05-12 10:00:00,2023-05-12 10:00:00,PURCHASE
24,607,2023-11-25 17:00:00,2023-11-25 17:00:00,VIEW
25,4315,2023-03-19 03:00:00,2023-03-19 08:00:00,VIEW
26,6619,2023-12-25 12:00:00,2023-12-25 13:00:00,VIEW
27,7493,2023-06-04 18:00:00,2023-06-04 18:00:00,ADD_TO_CART
28,479,2023-07-21 03:00:00,2023-07-21 03:00:00,ADD_TO_CART
29,3821,2023-03-07 13:00:00,2023-03-07 13:00:00,ADD_TO_CART
30,580,2023-09-20 21:00:00,2023-09-20 21:00:00,ADD_TO_CART
31,5250,2023-05-30 23:00:00,2023-05-30 23:00:00,ADD_TO_CART
32,2757,2023-05-28 01:00:00,2023-05-28 01:00:00,PURCHASE
33,2844,2024-01-01 09:00:00,2024-01-01 09:00:00,VIEW
34,3951,2023-03-10 16:00:00,2023-03-10 16:00:00,VIEW
35,7321,2023-11-15 08:00:00,2023-11-15 08:00:00,PURCHASE
36,903,2023-11-14 17:00:00,2023-11-14 17:00:00,ADD_TO_CART
37,3897,2023-08-10 09:00:00,2023-08-10 11:00:00,VIEW
38,6120,2023-12-10 08:00:00,2023-12-10 10:00:00,VIEW
39,2635,2023-03-21 10:00:00,2023-03-21 12:00:00,ADD_TO_CART
40,2997,2023-06-03 22:00:00,2023-06-04 00:00:00,PURCHASE
41,7497,2023-02-25 07:00:00,2023-02-25 07:00:00,ADD_TO_CART
42,6324,2023-06-30 18:00:00,2023-06-30 20:00:00,VIEW
43,6452,2023-04-25 08:00:00,2023-04-25 08:00:00,PURCHASE
44,4368,2023-04-06 06:00:00,2023-04-06 08:00:00,VIEW
45,3255,2023-09-15 15:00:00,2023-09-15 15:00:00,PURCHASE
46,3598,2023-05-10 12:00:00,2023-05-10 17:00:00,ADD_TO_CART
47,5472,2023-08-10 17:00:00,2023-08-10 19:00:00,VIEW
48,2540,2023-11-06 20:00:00,2023-11-06 20:00:00,PURCHASE
49,263,2023-08-22 13:00:00,2023-08-22 15:00:00,ADD_TO_CART
50,5428,2023-03-11 10:00:00,2023-03-11 11:00:00,PURCHASE
51,597,2023-08-15 11:00:00,2023-08-15 16:00:00,VIEW
52,2282,2023-02-17 10:00:00,2023-02-17 15:00:00,ADD_TO_CART
53,5369,2023-04-07 13:00:00,2023-04-07 14:00:00,ADD_TO_CART
54,5618,2023-03-19 03:00:00,2023-03-19 03:00:00,ADD_TO_CART
55,5047,2023-01-07 13:00:00,2023-01-07 13:00:00,ADD_TO_CART
56,7660,2023-12-29 18:00:00,2023-12-29 18:00:00,ADD_TO_CART
57,6456,2023-08-27 20:00:00,2023-08-27 20:00:00,ADD_TO_CART
58,2642,2023-03-11 09:00:00,2023-03-11 09:00:00,PURCHASE
59,4812,2023-09-07 12:00:00,2023-09-07 14:00:00,PURCHASE
60,552,2023-10-01 15:00:00,2023-10-01 15:00:00,VIEW
61,4851,2023-11-16 09:00:00,2023-11-16 11:00:00,VIEW
62,1823,2023-12-12 06:00:00,2023-12-12 11:00:00,ADD_TO_CART
63,6691,2023-04-18 19:00:00,2023-04-18 21:00:00,ADD_TO_CART
64,7716,2023-01-16 02:00:00,2023-01-16 02:00:00,ADD_TO_CART
65,7809,2023-09-10 03:00:00,2023-09-10 03:00:00,PURCHASE
66,3756,2023-10-23 18:00:00,2023-10-23 23:00:00,ADD_TO_CART
67,2119,2023-12-04 02:00:00,2023-12-04 04:00:00,PURCHASE
68,2981,2023-05-20 10:00:00,2023-05-20 12:00:00,PURCHASE
69,2158,2023-11-12 12:00:00,2023-11-12 12:00:00,VIEW
70,6700,2023-11-11 14:00:00,2023-11-11 15:00:00,ADD_TO_CART
71,845,2023-02-13 16:00:00,2023-02-13 16:00:00,VIEW
72,2668,2023-07-14 08:00:00,2023-07-14 08:00:00,VIEW
73,1811,2023-07-05 04:00:00,2023-07-05 06:00:00,VIEW
74,4809,2023-03-11 14:00:00,2023-03-11 15:00:00,PURCHASE
75,5385,2023-09-06 06:00:00,2023-09-06 11:00:00,VIEW
76,977,2023-06-16 14:00:00,2023-06-16 14:00:00,PURCHASE
77,6678,2023-08-09 08:00:00,2023-08-09 08:00:00,PURCHASE
78,3568,2023-04-24 04:00:00,2023-04-24 09:00:00,VIEW
79,3840,2023-07-25 19:00:00,2023-07-25 19:00:00,ADD_TO_CART
80,5237,2023-10-21 18:00:00,2023-10-21 18:00:00,PURCHASE
81,5265,2023-11-09 08:00:00,2023-11-09 08:00:00,VIEW
82,7786,2023-03-27 14:00:00,2023-03-27 19:00:00,PURCHASE
83,2903,2023-02-21 16:00:00,2023-02-21 16:00:00,ADD_TO_CART
84,456,2023-05-16 15:00:00,2023-05-16 15:00:00,PURCHASE
85,3971,2023-08-01 17:00:00,2023-08-01 19:00:00,VIEW
86,6642,2023-01-03 20:00:00,2023-01-03 20:00:00,PURCHASE
87,204,2023-08-02 20:00:00,2023-08-02 20:00:00,ADD_TO_CART
88,1906,2023-07-29 20:00:00,2023-07-29 20:00:00,ADD_TO_CART
89,3707,2023-05-13 01:00:00,2023-05-13 03:00:00,ADD_TO_CART
90,3632,2023-03-17 17:00:00,2023-03-17 17:00:00,VIEW
91,6497,2023-12-05 05:00:00,2023-12-05 10:00:00,PURCHASE
92,2005,2023-10-09 05:00:00,2023-10-09 06:00:00,VIEW
93,3326,2023-01-11 23:00:00,2023-01-12 01:00:00,PURCHASE
94,7826,2023-08-22 05:00:00,2023-08-22 05:00:00,ADD_TO_CART
95,6307,2023-01-24 14:00:00,2023-01-24 15:00:00,PURCHASE
96,5920,2023-05-10 17:00:00,2023-05-10 19:00:00,VIEW
97,7632,2023-08-01 16:00:00,2023-08-01 16:00:00,VIEW
98,6880,2023-05-23 06:00:00,2023-05-23 06:00:00,PURCHASE
99,3976,2023-02-16 04:00:00,2023-02-16 05:00:00,VIEW
100,2426,2023-02-27 14:00:00,2023-02-27 15:00:00,PURCHASE
101,4392,2023-03-28 21:00:00,2023-03-28 22:00:00,PURCHASE
102,3918,2023-11-25 08:00:00,2023-11-25 08:00:00,PURCHASE
103,1312,2023-12-15 17:00:00,2023-12-15 18:00:00,ADD_TO_CART
104,4106,2023-03-12 14:00:00,2023-03-12 14:00:00,VIEW
105,3132,2023-05-20 00:00:00,2023-05-20 05:00:00,ADD_TO_CART
106,4474,2023-01-30 23:00:00,2023-01-30 23:00:00,VIEW
107,1757,2023-10-20 20:00:00,2023-10-20 20:00:00,VIEW
108,389,2023-08-07 09:00:00,2023-08-07 10:00:00,ADD_TO_CART
109,4505,2023-11-09 20:00:00,2023-11-09 20:00:00,PURCHASE
110,5749,2023-08-27 10:00:00,2023-08-27 10:00:00,ADD_TO_CART
111,5176,2023-01-19 15:00:00,2023-01-19 20:00:00,PURCHASE
112,5208,2023-04-21 05:00:00,2023-04-21 07:00:00,ADD_TO_CART
113,4191,2023-06-26 12:00:00,2023-06-26 14:00:00,PURCHASE
114,1136,2023-10-21 07:00:00,2023-10-21 07:00:00,PURCHASE
115,714,2023-02-03 20:00:00,2023-02-03 21:00:00,VIEW
116,7667,2023-10-08 05:00:00,2023-10-08 05:00:00,PURCHASE
117,460,2023-03-03 18:00:00,2023-03-03 18:00:00,VIEW
118,5721,2023-04-14 08:00:00,2023-04-14 10:00:00,ADD_TO_CART
119,5178,2023-08-23 11:00:00,2023-08-23 16:00:00,PURCHASE
120,3627,2023-05-07 06:00:00,2023-05-07 07:00:00,PURCHASE
