order_item_id,order_id,product_id,quantity
1,1,1,3
2,2,53,5
3,2,1,4
4,3,1,2
5,4,14,5
6,4,1,5
7,5,143,1
8,5,82,4
9,5,80,2
10,5,173,1
11,6,184,3
12,7,23,4
13,7,194,1
14,7,186,5
15,7,1,1
16,7,1,2
17,8,120,1
18,8,233,3
19,8,1,3
20,9,37,5
21,9,274,2
22,10,139,5
23,10,167,1
24,11,162,4
25,11,109,5
26,12,256,4
27,12,235,2
28,12,127,5
29,13,300,4
30,13,205,3
31,13,71,5
32,13,25,1
33,13,1,2
34,14,198,4
35,14,240,5
36,14,284,1
37,14,59,5
38,15,175,1
39,15,81,4
40,15,1,3
41,16,260,1
42,16,153,5
43,16,79,3
44,16,277,5
45,16,166,4
46,17,1,3
47,18,124,5
48,18,44,4
49,18,273,2
50,19,282,2
51,19,217,2
52,20,103,3
53,20,192,4
54,20,232,1
55,20,33,3
56,20,1,5
57,21,4,1
58,21,31,2
59,22,170,1
60,23,249,2
61,23,293,5
62,23,243,4
63,23,1,1
64,23,182,4
65,24,28,1
66,24,1,3
67,24,56,2
68,24,1,5
69,25,1,2
70,25,128,1
71,25,282,1
72,25,1,5
73,26,122,2
74,27,110,4
75,27,85,4
76,27,1,4
77,27,233,3
78,28,285,4
79,28,1,3
80,28,30,5
81,28,32,3
82,29,1,4
83,30,272,2
84,30,1,5
85,30,1,2
86,30,1,1
87,30,121,4
88,31,292,2
89,32,42,4
90,32,290,5
91,32,134,2
92,32,161,2
93,32,68,3
94,33,38,1
95,33,289,1
96,33,1,2
97,33,68,3
98,34,190,3
99,35,279,3
100,35,271,1
101,36,54,2
102,36,55,5
103,36,1,3
104,36,176,2
105,36,136,5
106,37,27,1
107,37,142,1
108,37,1,2
109,37,135,2
110,38,219,5
111,38,1,1
112,38,77,5
113,38,1,3
114,39,221,2
115,39,1,3
116,39,21,3
117,39,128,1
118,39,287,4
119,40,122,2
120,40,91,4
121,40,1,3
122,40,211,2
123,40,56,4
124,41,114,2
125,42,117,2
126,42,1,2
127,42,143,1
128,42,143,3
129,43,275,3
130,43,60,3
131,43,1,3
132,43,1,5
133,43,161,4
134,44,60,4
135,44,98,3
136,44,1,4
137,44,1,5
138,44,101,3
139,45,1,3
140,45,64,3
141,45,210,3
142,45,152,5
143,46,1,4
144,46,90,5
145,47,281,1
146,47,108,4
147,47,165,4
148,47,110,5
149,47,87,1
150,48,172,1
151,48,121,3
152,48,102,2
153,49,1,4
154,50,38,4
155,50,295,2
156,50,197,4
157,50,76,1
158,50,55,4
159,51,1,5
160,51,286,2
161,52,238,5
162,53,227,5
163,53,259,4
164,53,281,4
165,53,244,4
166,53,127,3
167,54,123,3
168,54,147,2
169,54,164,5
170,54,1,2
171,54,79,2
172,55,170,5
173,56,106,4
174,56,300,1
175,56,295,4
176,56,181,3
177,57,215,5
178,57,280,5
179,57,250,2
180,57,249,1
181,58,208,2
182,58,66,5
183,58,202,5
184,58,14,1
185,59,1,4
186,59,1,3
187,59,109,4
188,59,195,3
189,60,42,4
190,60,1,5
191,60,1,3
192,60,36,1
193,61,103,1
194,62,1,2
195,62,59,5
196,62,239,3
197,62,86,5
198,62,59,2
199,63,1,1
200,63,295,4
201,63,102,1
202,64,125,1
203,64,155,5
204,64,290,1
205,64,220,3
206,64,1,3
207,65,251,1
208,66,236,2
209,66,268,3
210,66,276,4
211,66,138,3
212,67,45,3
213,67,125,4
214,68,195,3
215,68,1,3
216,68,1,2
217,68,133,3
218,68,142,5
219,69,98,1
220,70,251,5
221,70,244,4
222,71,48,3
223,71,125,3
224,71,189,4
225,71,177,4
226,72,233,3
227,72,119,1
228,72,162,1
229,72,95,2
230,72,248,3
231,73,269,5
232,73,52,2
233,73,185,2
234,73,274,2
235,73,28,5
236,74,65,4
237,74,1,1
238,74,241,4
239,75,27,3
240,75,245,1
241,75,206,4
242,75,1,1
243,76,1,5
244,76,44,2
245,77,214,5
246,78,116,5
247,78,227,3
248,78,220,3
249,78,31,5
250,78,51,2
251,79,42,2
252,79,283,1
253,80,1,4
254,80,241,3
255,81,145,4
256,82,136,5
257,83,279,2
258,83,137,2
259,84,1,3
260,85,292,3
261,85,240,3
262,85,140,5
263,85,225,1
264,85,222,3
265,86,47,2
266,86,295,5
267,86,138,5
268,86,1,2
269,86,227,3
270,87,224,4
271,87,241,3
272,88,54,2
273,88,254,3
274,88,206,5
275,88,1,1
276,89,60,4
277,89,1,5
278,89,28,2
279,90,256,4
280,90,105,3
281,90,148,4
282,90,249,1
283,90,1,5
284,91,160,5
285,91,1,4
286,92,59,4
287,93,79,4
288,94,140,4
289,94,242,2
290,94,75,4
291,95,261,2
292,95,142,4
293,96,260,3
294,96,145,3
295,96,297,4
296,97,248,3
297,97,279,4
298,98,97,2
299,98,120,4
300,98,1,4
301,98,196,4
302,99,19,2
303,99,170,1
304,100,1,4
305,100,1,2
306,100,80,1
307,100,136,3
308,101,42,3
309,101,274,4
310,101,250,5
311,101,1,1
312,101,148,2
313,102,51,1
314,103,1,3
315,103,24,3
316,103,151,3
317,103,75,2
318,104,93,2
319,104,1,5
320,104,124,4
321,104,74,2
322,104,131,4
323,105,239,3
324,105,81,1
325,105,177,5
326,106,218,3
327,106,155,2
328,106,248,1
329,107,184,5
330,107,152,1
331,108,290,1
332,108,255,3
333,108,118,5
334,108,113,2
335,109,71,1
336,109,21,3
337,109,18,5
338,109,68,1
339,109,168,4
340,110,277,3
341,110,140,2
342,111,247,3
343,111,174,1
344,111,39,2
345,112,204,5
346,112,203,1
347,113,233,3
348,113,135,5
349,113,191,1
350,114,288,3
351,114,114,1
352,115,155,4
353,115,1,1
354,115,156,4
355,115,1,2
356,116,1,4
357,116,277,4
