order_id,customer_id,store_id,sales_rep_id,order_date
1,1852,16,21,2023-03-17
2,334,12,35,2023-10-12
3,1357,20,5,2023-07-29
4,1017,13,43,2023-09-15
5,327,8,27,2023-09-16
6,15,27,24,2023-07-03
7,839,29,7,2023-11-24
8,1638,30,6,2023-01-11
9,226,26,46,2023-06-09
10,1449,22,33,2023-09-17
11,1814,1,49,2023-03-29
12,1432,26,17,2023-07-03
13,113,21,46,2023-01-16
14,1452,7,42,2023-09-01
15,1,15,30,2023-03-27
16,266,29,8,2023-07-18
17,1515,22,40,2023-01-10
18,1232,13,46,2023-06-13
19,1646,13,7,2023-01-24
20,1736,28,6,2023-03-05
21,952,9,4,2023-11-08
22,1393,24,1,2023-08-26
23,306,15,15,2023-12-11
24,12,4,31,2023-08-26
25,1369,13,25,2023-01-22
26,1489,27,47,2023-06-29
27,1724,12,33,2023-11-02
28,1690,5,35,2023-02-16
29,1518,7,5,2023-10-06
30,1392,8,5,2023-08-12
31,1870,5,36,2023-08-06
32,937,9,17,2023-08-25
33,420,14,14,2023-07-23
34,889,26,29,2023-12-05
35,1815,12,8,2023-01-19
36,171,4,34,2023-06-29
37,134,20,40,2023-06-11
38,965,29,1,2023-10-12
39,1451,8,29,2023-03-02
40,1049,17,36,2023-03-26
41,1554,8,37,2023-02-04
42,1214,21,29,2023-01-05
43,1165,29,5,2023-03-17
44,1579,30,32,2023-09-10
45,1870,27,24,2023-01-07
46,1820,1,19,2023-06-18
47,658,20,12,2023-05-10
48,1339,2,1,2023-05-18
49,1468,4,7,2023-12-24
50,1343,24,17,2023-10-27
51,1465,21,34,2023-11-22
52,1116,1,43,2023-04-01
53,179,7,7,2023-06-12
54,1080,1,17,2023-11-14
55,1179,9,3,2023-09-10
56,1696,3,29,2023-07-20
57,111,12,22,2023-01-20
58,137,19,38,2023-08-17
59,232,15,43,2023-06-12
60,992,22,29,2023-06-14
61,468,16,50,2023-08-20
62,732,10,50,2023-11-24
63,481,22,42,2023-08-26
64,1092,29,5,2023-04-30
65,814,27,30,2023-12-17
66,1273,27,23,2023-04-17
67,994,6,21,2023-09-07
68,323,29,26,2023-12-02
69,922,17,47,2023-10-11
70,904,21,21,2023-07-17
71,1542,28,20,2023-08-08
72,2000,22,23,2023-05-31
73,1816,24,4,2023-10-13
74,1456,29,21,2023-09-22
75,1511,17,21,2023-08-08
76,606,21,1,2023-08-04
77,429,19,15,2023-11-11
78,1293,18,17,2023-06-05
79,1733,11,14,2023-08-04
80,1561,24,19,2023-12-01
81,148,7,50,2023-12-25
82,1142,10,34,2023-04-24
83,850,7,6,2023-06-10
84,367,5,45,2023-10-30
85,850,12,49,2023-04-08
86,1090,16,6,2023-06-06
87,1994,29,5,2023-06-11
88,813,25,7,2023-02-11
89,1394,21,33,2023-06-29
90,175,18,13,2023-10-30
91,1855,3,1,2023-11-26
92,588,20,13,2023-02-20
93,495,15,43,2023-09-09
94,973,5,27,2023-12-16
95,1138,13,7,2023-04-30
96,1135,19,3,2023-03-16
97,1785,12,25,2023-06-11
98,1463,30,33,2023-05-29
99,1739,23,40,2023-05-03
100,1171,21,17,2023-05-21
101,35,5,45,2023-07-01
102,999,6,14,2023-10-04
103,1333,7,37,2023-09-14
104,538,26,23,2023-11-21
105,750,10,24,2023-09-02
106,1038,16,29,2023-03-27
107,374,8,38,2023-03-12
108,557,9,27,2023-09-26
109,1452,27,38,2023-06-29
110,1752,4,40,2023-10-06
111,233,21,45,2023-05-29
112,705,21,50,2023-01-06
113,563,8,23,2023-05-28
114,939,25,31,2023-11-28
115,887,7,36,2023-06-17
116,726,15,17,2023-01-09
117,1687,21,37,2023-06-27
118,1464,3,3,2023-10-11
119,1526,17,36,2023-04-26
120,1299,11,5,2023-04-06
121,1874,9,46,2023-11-27
122,76,5,15,2023-12-10
123,439,25,49,2023-02-25
124,1756,10,6,2023-07-26
125,1884,15,10,2023-04-15
126,1980,28,32,2023-02-04
127,699,29,23,2023-07-28
128,1313,14,48,2023-10-08
129,915,4,17,2023-12-21
130,1564,21,46,2023-05-27
131,891,20,20,2023-10-14
132,692,2,44,2023-03-22
133,253,12,41,2023-02-19
134,1150,1,15,2023-03-28
135,1201,24,44,2023-07-10
136,1061,20,46,2023-10-30
137,410,5,22,2023-01-01
138,1635,6,50,2023-05-18
139,1634,30,6,2023-05-16
140,127,24,4,2023-12-28
